TermID,TermCode,TermName,CalendarYear,AcademicYear
100,WI11,Winter 2011,2011,2011
110,SP11,Spring 2011,2011,2011
120,SU11,Summer 2011,2011,2011
130,FA11,Fall 2011,2011,2012
140,WI12,Winter 2012,2012,2012
150,SP12,Spring 2012,2012,2012
160,SU12,Summer 2012,2012,2012
170,FA12,Fall 2012,2012,2013
180,WI13,Winter 2013,2013,2013
190,SP13,Spring 2013,2013,2013
200,SU13,Summer 2013,2013,2013
210,FA13,Fall 2013,2013,2014
220,WI14,Winter 2014,2014,2014
230,SP14,Spring 2014,2014,2014
240,SU14,Summer 2014,2014,2014
250,FA14,Fall 2014,2014,2015
260,WI15,Winter 2015,2015,2015
270,SP15,Spring 2015,2015,2015
280,SU15,Summer 2015,2015,2015
